Parameter,Estimate,Std Error,T-Statistic,P-Value
Intercept,5.053497314453125,,,
C(Circuit)[T.australia],-3.7414073265446426,0.01789955145371869,-209.02240685854466,0.0
C(Circuit)[T.azerbaijan],0.9769320378987807,0.020205668887273275,48.34940349409122,0.0
C(Circuit)[T.belgium],-0.8744930624961853,302697.81793316605,-2.8889969160242455e-06,0.9999976949139645
C(Circuit)[T.emiliaromagna],-0.3446522992808312,0.022940357351855862,-15.023841782174724,5.124929307727025e-51
C(Circuit)[T.japan],-2.5108872129418067,0.018370612124382346,-136.67956167934318,0.0
C(Circuit)[T.mexico],2.142985865449962,0.018085406549373913,118.49254588773115,0.0
C(Circuit)[T.monaco],5.991448817786529,0.018313234198434496,327.16497549617463,0.0
C(Circuit)[T.netherlands],0.9099343570131069,0.017823345731438598,51.05294879670508,0.0
C(Circuit)[T.saudiarabia],-1.697359314343423,0.02246617304485149,-75.55177781969422,0.0
C(Circuit)[T.unitedkingdom],0.3833847085921942,0.01876957556463102,20.425859246100163,9.85101967774389e-93
C(Year)[T.2022],0.3321191826610761,0.018086130459384085,18.36319733548943,2.589047500575573e-75
C(Year)[T.2023],0.16614230303937205,0.017722233448787136,9.37479485977217,6.931041834706338e-21
C(Year)[T.2024],-0.005830913592317799,0.018474891960149013,-0.31561286555262585,0.7522963711803835
C(Circuit)[T.australia]:C(Year)[T.2022],2.320199220928643,0.025578372162189944,90.70941677666147,0.0
C(Circuit)[T.azerbaijan]:C(Year)[T.2022],-0.01378916800530483,0.027635511993658428,-0.4989655342180401,0.6178036647975753
C(Circuit)[T.belgium]:C(Year)[T.2022],-0.08614689111709595,302697.8179331668,-2.8459700074916455e-07,0.9999997729244471
C(Circuit)[T.emiliaromagna]:C(Year)[T.2022],-0.2595761933077192,0.029483159515755905,-8.804219004038586,1.3176687605739235e-18
C(Circuit)[T.japan]:C(Year)[T.2022],4.0059790230228405,0.029998849429723282,133.53775558650793,0.0
C(Circuit)[T.mexico]:C(Year)[T.2022],0.07439224330446947,0.024011782174425837,3.098155845495809,0.0019472899649043026
C(Circuit)[T.monaco]:C(Year)[T.2022],0.2635812257898138,0.026840548720126235,9.820262191293015,9.210367938683261e-23
C(Circuit)[T.netherlands]:C(Year)[T.2022],-0.1635975429907237,0.024147285085164845,-6.7749870187780115,1.2441743062221791e-11
C(Circuit)[T.saudiarabia]:C(Year)[T.2022],-0.1740255292274817,0.028847652252128847,-6.032571652850512,1.6137075186999894e-09
C(Circuit)[T.unitedkingdom]:C(Year)[T.2022],-0.21032630220895498,0.02630928875133191,-7.9943743138364844,1.3023353636384864e-15
C(Circuit)[T.australia]:C(Year)[T.2023],2.258635742031508,0.02517723415095968,89.7094465773722,0.0
C(Circuit)[T.azerbaijan]:C(Year)[T.2023],-0.19185807138304867,0.026143442732429446,-7.338668948334784,2.1572847262854385e-13
C(Circuit)[T.belgium]:C(Year)[T.2023],-0.03934699296951294,302697.81793316646,-1.299876994098467e-07,0.9999998962848216
C(Circuit)[T.emiliaromagna]:C(Year)[T.2023],6.318152411252953,0.029169550730134483,216.60095041250653,0.0
C(Circuit)[T.japan]:C(Year)[T.2023],2.415575603867179,0.025355271278193668,95.26916818849618,0.0
C(Circuit)[T.mexico]:C(Year)[T.2023],0.2549683535039797,0.02382818636611167,10.700283671886773,1.0146711008946222e-26
C(Circuit)[T.monaco]:C(Year)[T.2023],0.43612172826477247,0.02445450339337472,17.834004692277976,3.848416455584397e-71
C(Circuit)[T.netherlands]:C(Year)[T.2023],-0.04021953904561926,0.024801443159809353,-1.6216612390844607,0.10487590248657117
C(Circuit)[T.saudiarabia]:C(Year)[T.2023],0.020288479198775633,0.02792143871986895,0.7266272845868187,0.46745430922349185
C(Circuit)[T.unitedkingdom]:C(Year)[T.2023],-0.10598083685655091,0.02478076164597278,-4.276738478446819,1.8965137699538372e-05
C(Circuit)[T.australia]:C(Year)[T.2024],2.326687850812995,0.025200904748504706,92.3255682298886,0.0
C(Circuit)[T.azerbaijan]:C(Year)[T.2024],0.24862176304335648,0.026508900335448254,9.378803341415647,6.672570283188642e-21
C(Circuit)[T.belgium]:C(Year)[T.2024],-0.4808850884437561,302697.81793316663,-1.588663875171812e-06,0.9999987324296217
C(Circuit)[T.emiliaromagna]:C(Year)[T.2024],0.06650414635623747,0.028104284013170847,2.366334837958186,0.01796518810251469
C(Circuit)[T.japan]:C(Year)[T.2024],2.345505324937264,0.02539502405054708,92.36082313876506,0.0
C(Circuit)[T.mexico]:C(Year)[T.2024],0.011662001604641148,0.024208804861877563,0.4817256230193215,0.6300008714441308
C(Circuit)[T.monaco]:C(Year)[T.2024],2.270347553720203,0.026027688905382637,87.22816543464548,0.0
C(Circuit)[T.netherlands]:C(Year)[T.2024],0.033593244157552604,0.02381302906258018,1.410708569215206,0.1583305632076929
C(Circuit)[T.saudiarabia]:C(Year)[T.2024],0.022157944539010543,0.028659016988402706,0.7731578702778634,0.4394289558435249
C(Circuit)[T.unitedkingdom]:C(Year)[T.2024],-1.6631737586988677,0.02688898200897356,-61.85335533133322,0.0
Group Var,0.0,,,
